X,u
0.561,-4.58567
0.562,-4.59558
0.563,-4.60549
0.564,-4.61541
0.565,-4.62532
0.566,-4.63524
0.567,-4.64515
0.568,-4.65507
0.569,-4.66499
0.57,-4.6749
0.571,-4.68482
0.572,-4.69474
0.573,-4.70465
0.574,-4.71457
0.575,-4.72449
0.576,-4.73441
0.577,-4.74433
0.578,-4.75425
0.579,-4.76417
0.58,-4.77408
0.581,-4.784
0.582,-4.79392
0.583,-4.80385
0.584,-4.81377
0.585,-4.82369
0.586,-4.83361
0.587,-4.84353
0.588,-4.85345
0.589,-4.86337
0.59,-4.8733
0.591,-4.88322
0.592,-4.89314
0.593,-4.90307
0.594,-4.91299
0.595,-4.92291
0.596,-4.93284
0.597,-4.94276
0.598,-4.95269
0.599,-4.96261
0.6,-4.97254
0.601,-4.98246
0.602,-4.99239
0.603,-5.00231
0.604,-5.01224
0.605,-5.02217
0.606,-5.03209
0.607,-5.04202
0.608,-5.05195
0.609,-5.06188
0.61,-5.0718
0.611,-5.08173
0.612,-5.09166
0.613,-5.10159
0.614,-5.11151
0.615,-5.12144
0.616,-5.13137
0.617,-5.1413
0.618,-5.15123
0.619,-5.16116
0.62,-5.17109
0.621,-5.18102
0.622,-5.19095
0.623,-5.20088
0.624,-5.21081
0.625,-5.22074
0.626,-5.23067
0.627,-5.2406
0.628,-5.25053
0.629,-5.26047
0.63,-5.2704
0.631,-5.28033
0.632,-5.29026
0.633,-5.30019
0.634,-5.31013
0.635,-5.32006
0.636,-5.32999
0.637,-5.33992
0.638,-5.34986
0.639,-5.35979
0.64,-5.36972
0.641,-5.37966
0.642,-5.38959
0.643,-5.39952
0.644,-5.40946
0.645,-5.41939
0.646,-5.42933
0.647,-5.43926
0.648,-5.4492
0.649,-5.45913
0.65,-5.46907
0.651,-5.479
0.652,-5.48894
0.653,-5.49887
0.654,-5.50881
0.655,-5.51874
0.656,-5.52868
0.657,-5.53862
0.658,-5.54855
0.659,-5.55849
0.66,-5.56842
0.661,-5.57836
0.662,-5.5883
0.663,-5.59823
0.664,-5.60817
0.665,-5.61811
0.666,-5.62805
0.667,-5.63798
0.668,-5.64792
0.669,-5.65786
0.67,-5.6678
0.671,-5.67773
0.672,-5.68767
0.673,-5.69761
0.674,-5.70755
0.675,-5.71749
0.676,-5.72742
0.677,-5.73736
0.678,-5.7473
0.679,-5.75724
0.68,-5.76718
0.681,-5.77712
0.682,-5.78706
0.683,-5.797
0.684,-5.80694
0.685,-5.81688
0.686,-5.82682
0.687,-5.83675
0.688,-5.84669
0.689,-5.85663
0.69,-5.86657
0.691,-5.87651
0.692,-5.88645
0.693,-5.89639
0.694,-5.90634
0.695,-5.91628
0.696,-5.92622
0.697,-5.93616
0.698,-5.9461
0.699,-5.95604
0.7,-5.96598
0.701,-5.97592
0.702,-5.98586
0.703,-5.9958
0.704,-6.00574
0.705,-6.01569
0.706,-6.02563
0.707,-6.03557
0.708,-6.04551
0.709,-6.05545
0.71,-6.06539
0.711,-6.07534
0.712,-6.08528
0.713,-6.09522
0.714,-6.10516
0.715,-6.1151
0.716,-6.12505
0.717,-6.13499
0.718,-6.14493
0.719,-6.15487
0.72,-6.16482
0.721,-6.17476
0.722,-6.1847
0.723,-6.19464
0.724,-6.20459
0.725,-6.21453
0.726,-6.22447
0.727,-6.23442
0.728,-6.24436
0.729,-6.2543
0.73,-6.26425
0.731,-6.27419
0.732,-6.28413
0.733,-6.29408
0.734,-6.30402
0.735,-6.31396
0.736,-6.32391
0.737,-6.33385
0.738,-6.34379
0.739,-6.35374
0.74,-6.36368
0.741,-6.37363
0.742,-6.38357
0.743,-6.39351
0.744,-6.40346
0.745,-6.4134
0.746,-6.42335
0.747,-6.43329
0.748,-6.44324
0.749,-6.45318
0.75,-6.46312
0.751,-6.47307
0.752,-6.48301
0.753,-6.49296
0.754,-6.5029
0.755,-6.51285
0.756,-6.52279
0.757,-6.53274
0.758,-6.54268
0.759,-6.55263
0.76,-6.56257
0.761,-6.57252
0.762,-6.58246
0.763,-6.59241
0.764,-6.60235
0.765,-6.6123
0.766,-6.62224
0.767,-6.63219
0.768,-6.64214
0.769,-6.65208
0.77,-6.66203
0.771,-6.67197
0.772,-6.68192
0.773,-6.69186
0.774,-6.70181
0.775,-6.71175
0.776,-6.7217
0.777,-6.73165
0.778,-6.74159
0.779,-6.75154
0.78,-6.76148
0.781,-6.77143
0.782,-6.78138
0.783,-6.79132
0.784,-6.80127
0.785,-6.81121
0.786,-6.82116
0.787,-6.83111
0.788,-6.84105
0.789,-6.851
0.79,-6.86095
0.791,-6.87089
0.792,-6.88084
